1.224646799147353144e-19,0.000000000000000000e+00,-1.000000000000000021e-03
7.635547901473155818e-20,9.574674224771026601e-20,-1.000000000000000021e-03
-2.725095495128799248e-20,1.193942347052882121e-19,-1.000000000000000021e-03
-1.103368640208111868e-19,5.313543323124028775e-20,-1.000000000000000021e-03
-1.103368640208112108e-19,-5.313543323124026367e-20,-1.000000000000000021e-03
-2.725095495128802257e-20,-1.193942347052882121e-19,-1.000000000000000021e-03
7.635547901473152207e-20,-9.574674224771027805e-20,-1.000000000000000021e-03
1.224646799147353144e-19,-2.999519565323715408e-35,-1.000000000000000021e-03
9.428090415820633867e-04,0.000000000000000000e+00,-3.333333333333333764e-04
5.878318225266232315e-04,7.371177906643670103e-04,-3.333333333333333764e-04
-2.097947484752983322e-04,9.191708504957471493e-04,-3.333333333333333764e-04
-8.494415948423564029e-04,4.090695122354671195e-04,-3.333333333333333764e-04
-8.494415948423565113e-04,-4.090695122354669026e-04,-3.333333333333333764e-04
-2.097947484752985762e-04,-9.191708504957471493e-04,-3.333333333333333764e-04
5.878318225266230147e-04,-7.371177906643671188e-04,-3.333333333333333764e-04
9.428090415820633867e-04,-2.309216149961315425e-19,-3.333333333333333764e-04
9.428090415820633867e-04,0.000000000000000000e+00,3.333333333333332680e-04
5.878318225266232315e-04,7.371177906643670103e-04,3.333333333333332680e-04
-2.097947484752983322e-04,9.191708504957471493e-04,3.333333333333332680e-04
-8.494415948423564029e-04,4.090695122354671195e-04,3.333333333333332680e-04
-8.494415948423565113e-04,-4.090695122354669026e-04,3.333333333333332680e-04
-2.097947484752985762e-04,-9.191708504957471493e-04,3.333333333333332680e-04
5.878318225266230147e-04,-7.371177906643671188e-04,3.333333333333332680e-04
9.428090415820633867e-04,-2.309216149961315425e-19,3.333333333333332680e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03
-0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03
