# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
# TRAINING
#            energy,           variance,              error,       elapsed time,   acceptance ratio 
   5.4959486267e+00,   6.2856637337e+00,   3.5456067841e-02,   2.4578481190e+00,   8.7940000000e-01
   5.8194696649e+00,   1.3905507139e+01,   5.2736149155e-02,   2.4802476150e+00,   8.8280000000e-01
   5.4281972960e+00,   6.5872257457e+00,   3.6296627242e-02,   2.5933052340e+00,   8.8460000000e-01
   5.6971469641e+00,   1.0218216957e+01,   4.5206674190e-02,   2.4887241060e+00,   9.0100000000e-01
   5.4718415049e+00,   4.7915202666e+00,   3.0956486450e-02,   2.4809016740e+00,   9.1260000000e-01
   5.4959224593e+00,   5.6535591004e+00,   3.3626058646e-02,   2.4596188860e+00,   9.1080000000e-01
   5.6803107126e+00,   1.4750732294e+01,   5.4315250701e-02,   2.6029423810e+00,   9.2180000000e-01
   5.3575780903e+00,   4.6970271243e+00,   3.0649721448e-02,   2.8987092520e+00,   9.1780000000e-01
   5.4714527850e+00,   5.1939031013e+00,   3.2230119768e-02,   2.8575225570e+00,   9.1760000000e-01
   5.4463137323e+00,   3.5074713917e+00,   2.6485737262e-02,   2.9403223610e+00,   9.2020000000e-01
   5.3960472968e+00,   3.8927691358e+00,   2.7902577429e-02,   2.8553130990e+00,   9.1760000000e-01
   5.4380961096e+00,   3.4284275411e+00,   2.6185597343e-02,   2.8783387500e+00,   9.1740000000e-01
   5.5477095333e+00,   3.5822414966e+00,   2.6766551876e-02,   2.9026219760e+00,   9.1620000000e-01
   5.4332565918e+00,   3.3737541122e+00,   2.5975966246e-02,   2.5554275370e+00,   9.2260000000e-01
   5.2930390189e+00,   3.1448255664e+00,   2.5079176886e-02,   2.4648963290e+00,   9.1600000000e-01
   5.1899030749e+00,   2.8556941099e+00,   2.3898510874e-02,   2.4426034370e+00,   9.1800000000e-01
   5.3041943656e+00,   3.0355334485e+00,   2.4639535095e-02,   2.4325421400e+00,   9.0520000000e-01
   5.2224181882e+00,   3.0828214037e+00,   2.4830712449e-02,   2.6153217550e+00,   9.1420000000e-01
   5.3698752852e+00,   5.1795212748e+00,   3.2185466518e-02,   2.6981561710e+00,   9.0700000000e-01
   5.2751003995e+00,   2.7936743365e+00,   2.3637573211e-02,   3.9416055700e+00,   9.1220000000e-01
   5.2125606041e+00,   2.2013418192e+00,   2.0982572860e-02,   4.1141803230e+00,   9.0980000000e-01
